date,name,value
2020-12-07,buruburu phase 3,1
2020-12-07,k south,2
2020-12-07,kahawa wendani,7
2020-12-07,raphta road,1
2020-12-07,umoja 1,1
2020-12-07,bomet,1
2020-12-07,lower kabete,10
2020-12-07,kenol,3
2020-12-07,kitui,7
2020-12-07,kileleshwa,25
2020-12-07,buru-buru,1
2020-12-07,ngumo,8
2020-12-07,kikuyu,13
2020-12-07,kingeero,2
2020-12-07,komarock,7
2020-12-07,south b,3
2020-12-07,syokimau,5
2020-12-07,imara daima,8
2020-12-07,riverside,9
2020-12-07,nairobi west,23
2020-12-07,dandora,3
2020-12-07,mwimuto,2
2020-12-07,lenana rd,2
2020-12-07,kilifi,1
2020-12-07,kisii,13
2020-12-07,stage mpya,3
2020-12-07,muchatha,2
2020-12-07,dagoretti corner,1
2020-12-07,nyayo estate,4
2020-12-07,watamu,1
2020-12-07,kabarnet,1
2020-12-07,kiambu town,1
2020-12-07,kabiria,2
2020-12-07,bamburi,4
2020-12-07,ngong town,3
2020-12-07,migori,7
2020-12-07,parklands,2
2020-12-07,kitengela,12
2020-12-07,nanyuki,6
2020-12-07,buru,1
2020-12-07,gatundu,2
2020-12-07,ukunda,4
2020-12-07,athi river,2
2020-12-07,lucky summer,18
2020-12-07,jamhuri estate,1
2020-12-07,nyali,10
2020-12-07,thogoto,2
2020-12-07,kabati,2
2020-12-07,manyatta,2
2020-12-07,greenspan mall,1
2020-12-07,busia,1
2020-12-07,vihiga,6
2020-12-07,riara road,1
2020-12-07,eastleigh,3
2020-12-07,githurai 44,1
2020-12-07,athiriver,2
2020-12-07,uthiru,33
2020-12-07,siaya,8
2020-12-07,meru,7
2020-12-07,nkoroi,1
2020-12-07,matasia,1
2020-12-07,kajiado,1
2020-12-07,kilimani,14
2020-12-07,eldoret,3
2020-12-07,kahawa west,1
2020-12-07,wangige,9
2020-12-07,nyamira,6
2020-12-07,rosslyn,3
2020-12-07,donholm,9
2020-12-07,fedha,3
2020-12-07,nakuru,13
2020-12-07,kariobangi south,10
2020-12-07,kiserian,2
2020-12-07,mlolongo,1
2020-12-07,mountain view,1
2020-12-07,joyland,7
2020-12-07,githunguri,5
2020-12-07,mishomoroni,2
2020-12-07,usiu,5
2020-12-07,limuru,24
2020-12-07,kakamega,2
2020-12-07,juja,26
2020-12-07,kawangware,2
2020-12-07,ngara,6
2020-12-07,zimmerman,3
2020-12-07,garissa,6
2020-12-07,karen,10
2020-12-07,kayole,12
2020-12-07,lodwar,1
2020-12-07,runyenjes,1
2020-12-07,gikambura,6
2020-12-07,waithaka,3
2020-12-07,nrb west,2
2020-12-07,bungoma,6
2020-12-07,lenana road,1
2020-12-07,buru buru phase 1,2
2020-12-07,ruiru,42
2020-12-07,tassia,11
2020-12-07,embu,3
2020-12-07,kasarani,84
2020-12-07,pipeline,5
2020-12-07,muthiga,6
2020-12-07,ngong,61
2020-12-07,kondele,2
2020-12-07,mamboleo,1
2020-12-07,mtwapa,5
2020-12-07,kirigiti,7
2020-12-07,githurai 45,6
2020-12-07,lavington,15
2020-12-07,buruburu phase 1,2
2020-12-07,ruai,3
2020-12-07,denis pritt,3
2020-12-07,ruaka,76
2020-12-07,machakos,11
2020-12-07,ongata rongai,2
2020-12-07,pangani,8
2020-12-07,ndenderu,2
2020-12-07,membley,2
2020-12-07,webuye,2
2020-12-07,buruburu,5
2020-12-07,katani,5
2020-12-07,highrise,5
2020-12-07,madaraka,12
2020-12-07,westlands,3
2020-12-07,canaan estate,1
2020-12-07,shanzu,2
2020-12-07,homa bay,1
2020-12-07,huruma,1
2020-12-07,buru buru,1
2020-12-07,muthaiga,1
2020-12-07,rongai,17
2020-12-07,trm,1
2020-12-07,dennis pritt,1
2020-12-07,riruta,4
2020-12-07,kinoo,17
2020-12-07,batu batu,2
2020-12-07,loresho,4
2020-12-07,upperhill,6
2020-12-08,batu batu,2
2020-12-08,roysambu,8
2020-12-08,kenol,3
2020-12-08,greenspan mall,1
2020-12-08,buruburu phase 1,3
2020-12-08,mwimuto,2
2020-12-08,k south,2
2020-12-08,upperhill,6
2020-12-08,buru buru phase 1,2
2020-12-08,kasarani,98
2020-12-08,riara road,1
2020-12-08,nyamira,6
2020-12-08,nanyuki,6
2020-12-08,nairobi dam estate,1
2020-12-08,stage mpya,3
2020-12-08,muthiga,6
2020-12-08,kawangware,2
2020-12-08,shanzu,3
2020-12-08,kayole,13
2020-12-08,athi river,3
2020-12-08,tigoni,1
2020-12-08,ngong,62
2020-12-08,kisumu manyatta,1
2020-12-08,naivasha,14
2020-12-08,kilimani,14
2020-12-08,webuye,2
2020-12-08,nairobi west,25
2020-12-08,joyland,9
2020-12-08,oloitoktok road,3
2020-12-08,nyali,10
2020-12-08,fedha,3
2020-12-08,waithaka,3
2020-12-08,bamburi,4
2020-12-08,uthiru,37
2020-12-08,karen,11
2020-12-08,rosslyn,3
2020-12-08,tassia,11
2020-12-08,eldoret,3
2020-12-08,kondele,2
2020-12-08,kirigiti,9
2020-12-08,raphta road,1
2020-12-08,south c,87
2020-12-08,loresho,4
2020-12-08,buruburu phase 3,1
2020-12-08,parklands,3
2020-12-08,ngong town,3
2020-12-08,kasa,2
2020-12-08,imara daima,11
2020-12-08,milimani, kisumu,2
2020-12-08,nakuru,13
2020-12-08,highrise,5
2020-12-08,ukunda,5
2020-12-08,gatundu,2
2020-12-08,manyatta,2
2020-12-08,machakos,13
2020-12-08,gikambura,7
2020-12-08,dagoretti corner,1
2020-12-08,migori,7
2020-12-08,usiu,5
2020-12-08,eastleigh,4
2020-12-08,kericho,3
2020-12-08,kiserian,2
2020-12-08,gachie,5
2020-12-08,kikuyu,14
2020-12-08,buru-buru,1
2020-12-08,runyenjes,1
2020-12-08,athiriver,4
2020-12-08,uhuru gardens,2
